关注用户名, 关注用户ID, 粉丝数, 用户主页链接, 
贵精不贵多 , 1119357, 4184, http://ba2.win007.com/user/perinfo?userid=1119357, 
听我解球 , 1996780, 941, http://ba2.win007.com/user/perinfo?userid=1996780, 
71897 , 842522, 3368, http://ba2.win007.com/user/perinfo?userid=842522, 
巴西足球2 , 1808613, 236, http://ba2.win007.com/user/perinfo?userid=1808613, 
z000058zz , 1035495, 470, http://ba2.win007.com/user/perinfo?userid=1035495, 
狂想kx , 2057494, 19, http://ba2.win007.com/user/perinfo?userid=2057494, 
纯粹娱乐 , 1823067, 14, http://ba2.win007.com/user/perinfo?userid=1823067, 
sl1988 , 1526780, 53, http://ba2.win007.com/user/perinfo?userid=1526780, 
min姐 , 2300346, 2, http://ba2.win007.com/user/perinfo?userid=2300346, 
小杰侃球 , 2305640, 5, http://ba2.win007.com/user/perinfo?userid=2305640, 
酒哥推波 , 1480451, 11, http://ba2.win007.com/user/perinfo?userid=1480451, 
kylin2018 , 2157175, 5, http://ba2.win007.com/user/perinfo?userid=2157175, 
浩天现晴 , 1791409, 85, http://ba2.win007.com/user/perinfo?userid=1791409, 
四大名捕 , 1085617, 74, http://ba2.win007.com/user/perinfo?userid=1085617, 
shawn52631 , 1333536, 115, http://ba2.win007.com/user/perinfo?userid=1333536, 
芳村青铜仔 , 2223436, 6, http://ba2.win007.com/user/perinfo?userid=2223436, 
期盼战狼3 , 2237546, 55, http://ba2.win007.com/user/perinfo?userid=2237546, 
liyizeng , 837848, 2, http://ba2.win007.com/user/perinfo?userid=837848, 
zymilan21 , 2066885, 16, http://ba2.win007.com/user/perinfo?userid=2066885, 
浊世 , 2340393, 3, http://ba2.win007.com/user/perinfo?userid=2340393, 
lzfengy , 826619, 8, http://ba2.win007.com/user/perinfo?userid=826619, 
INSAN2 , 2337092, 7, http://ba2.win007.com/user/perinfo?userid=2337092, 
ljguo , 1272100, 7, http://ba2.win007.com/user/perinfo?userid=1272100, 
tanyon , 2110839, 2, http://ba2.win007.com/user/perinfo?userid=2110839, 
特工20033 , 1660967, 11, http://ba2.win007.com/user/perinfo?userid=1660967, 
hfm1024 , 2148394, 4, http://ba2.win007.com/user/perinfo?userid=2148394, 
花有百日红 , 2480245, 3, http://ba2.win007.com/user/perinfo?userid=2480245, 
裸奔也很美 , 2474021, 1, http://ba2.win007.com/user/perinfo?userid=2474021, 
仙女的废熊 , 2412277, 4, http://ba2.win007.com/user/perinfo?userid=2412277, 
KongSun , 2555290, 1, http://ba2.win007.com/user/perinfo?userid=2555290, 
推土机123 , 2396279, 4, http://ba2.win007.com/user/perinfo?userid=2396279, 
星星懂球 , 1678494, 8, http://ba2.win007.com/user/perinfo?userid=1678494, 
悟空wl7288 , 2509955, 23, http://ba2.win007.com/user/perinfo?userid=2509955, 
tino4718 , 1149830, 12, http://ba2.win007.com/user/perinfo?userid=1149830, 
fiwj0323 , 1728763, 8, http://ba2.win007.com/user/perinfo?userid=1728763, 
进口双飞人 , 2539884, 37, http://ba2.win007.com/user/perinfo?userid=2539884, 
杏雨芬 , 2738917, 94, http://ba2.win007.com/user/perinfo?userid=2738917, 
坑几把 , 2739280, 3, http://ba2.win007.com/user/perinfo?userid=2739280, 
天涯海角19 , 2628988, 4, http://ba2.win007.com/user/perinfo?userid=2628988, 
xwl2014 , 2008076, 8, http://ba2.win007.com/user/perinfo?userid=2008076, 
猴王归来 , 2384568, 37, http://ba2.win007.com/user/perinfo?userid=2384568, 
